Score,ID,Sutur,Scorer,Time,Session,Sex,Age,PersBase,PersSut,SuturFinal,SutFinalAdjusted,SutFinalLog,Time1,Tim1Sqrt,Time2,Time2Sqrt,TaskName
27,26,6,1,12:35,5,Female,22,0.004764787,0.005461965,0.000697178,0.007331369,-4.915593041,755,27.47726333,125.8333333,11.21754578,Suturing
17,1,2.5,2,20:00,5,Male,22,0.02950804,NA,NA,NA,NA,1200,34.64101615,480,21.9089023,Suturing
21,2,6,2,19:10,5,Male,23,0.006701418,0.005889838,-0.00081158,0.00582261,-5.146006582,1150,33.91164992,191.6666667,13.8443731,Suturing
23,3,6,2,18:10,5,Male,23,0.008157108,0.007939287,-0.000217822,0.006416369,-5.048902912,1090,33.01514804,181.6666667,13.47837775,Suturing
25,4,6,2,16:05,5,Male,23,0.007356058,0.007923086,0.000567027,0.007201218,-4.933505138,965,31.06444913,160.8333333,12.68200825,Suturing
27,7,6,2,17:10,5,Male,25,0.006230693,0.007076777,0.000846084,0.007480275,-4.895485784,1030,32.09361307,171.6666667,13.10216267,Suturing
28,8,6,2,18:05,5,Male,22,0.007585527,0.006629658,-0.000955869,0.005678322,-5.17109958,1085,32.93933818,180.8333333,13.4474285,Suturing
21,10,6,2,14:10,5,Male,24,NA,NA,NA,NA,NA,850,29.15475947,141.6666667,11.90238071,Suturing
20,11,6,2,19:00,5,Male,22,0.006326574,0.007362815,0.001036241,0.007670432,-4.87038236,1140,33.76388603,190,13.78404875,Suturing
21,12,5,2,20:00,5,Male,23,0.006790488,0.007904935,0.001114447,0.007748638,-4.860238254,1200,34.64101615,240,15.49193338,Suturing
17,13,3,2,20:00,5,Male,22,0.00858393,0.008613481,2.96E-05,0.006663742,-5.011074146,1200,34.64101615,400,20,Suturing
27,19,6,2,12:55,5,Female,23,0.00681288,0.008229919,0.001417039,0.00805123,-4.821930435,775,27.83882181,129.1666667,11.36515141,Suturing
22,21,6,2,18:35,5,Female,22,0.006031647,0.01114313,0.005111483,0.011745673,-4.444270329,1115,33.39161571,185.8333333,13.63207003,Suturing
20,22,6,2,19:20,5,Female,26,0.006856825,0.007624814,0.000767989,0.00740218,-4.905980782,1160,34.05877273,193.3333333,13.90443574,Suturing
20,24,6,2,19:40,5,Female,25,0.00645223,0.006531594,7.94E-05,0.006713554,-5.003626766,1180,34.35112807,196.6666667,14.02378931,Suturing
27,26,6,2,12:35,5,Female,22,0.004764787,0.005461965,0.000697178,0.007331369,-4.915593041,755,27.47726333,125.8333333,11.21754578,Suturing
18,1,0,1,9:55,1,Male,22,0.006657445,0.006641466,-1.60E-05,0.018345098,-3.99839288,595,24.39262184,595,24.39262184,Cutting
17,2,0,1,6:45,1,Male,23,0.013570245,0.007648563,-0.005921682,0.012439395,-4.386886794,405,20.1246118,405,20.1246118,Cutting
19,3,0,1,10:15,1,Male,23,0.007040193,0.005252265,-0.001787928,0.016573149,-4.099971426,615,24.79919354,615,24.79919354,Cutting
14,4,0,1,3:10,1,Male,23,0.006861741,0.007017752,0.000156012,0.018517089,-3.989061236,190,13.78404875,190,13.78404875,Cutting
23,7,0,1,7:30,1,Male,25,0.007639514,0.005943591,-0.001695923,0.016665154,-4.094435315,450,21.21320344,450,21.21320344,Cutting
19,8,0,1,6:00,1,Male,22,0.005655116,NA,NA,NA,NA,360,18.97366596,360,18.97366596,Cutting
14,10,0,1,6:20,1,Male,24,0.007626537,0.006620019,-0.001006518,0.01735456,-4.053900006,380,19.49358869,380,19.49358869,Cutting
11,11,0,1,3:55,1,Male,22,0.007554808,0.00618258,-0.001372228,0.016988849,-4.075198073,235,15.32970972,235,15.32970972,Cutting
15,12,0,1,8:00,1,Male,23,0.007647257,0.007746743,9.95E-05,0.018460563,-3.992118528,480,21.9089023,480,21.9089023,Cutting
18,13,0,1,4:10,1,Male,22,0.006177183,0.006514194,0.000337011,0.018698088,-3.979333981,250,15.8113883,250,15.8113883,Cutting
19,19,0,1,3:15,1,Female,23,NA,NA,NA,NA,NA,195,13.96424004,195,13.96424004,Cutting
20,21,0,1,6:15,1,Female,22,0.00618752,0.006957866,0.000770346,0.019131423,-3.956423087,375,19.36491673,375,19.36491673,Cutting
16,22,0,1,6:10,1,Female,26,0.007621834,0.009351959,0.001730125,0.020091203,-3.907473234,370,19.23538406,370,19.23538406,Cutting
17,24,0,1,5:50,1,Female,25,0.008808817,0.006267209,-0.002541608,0.015819469,-4.146513853,350,18.70828693,350,18.70828693,Cutting
10,26,0,1,10:00,1,Female,22,0.007029366,0.00639046,-0.000638905,0.017722172,-4.032938763,600,24.49489743,600,24.49489743,Cutting
20,1,0,2,9:55,1,Male,22,0.006657445,0.006641466,-1.60E-05,0.018345098,-3.99839288,595,24.39262184,595,24.39262184,Cutting
19,2,0,2,6:45,1,Male,23,0.013570245,0.007648563,-0.005921682,0.012439395,-4.386886794,405,20.1246118,405,20.1246118,Cutting
17,3,0,2,10:15,1,Male,23,0.007040193,0.005252265,-0.001787928,0.016573149,-4.099971426,615,24.79919354,615,24.79919354,Cutting
12,4,0,2,3:10,1,Male,23,0.006861741,0.007017752,0.000156012,0.018517089,-3.989061236,190,13.78404875,190,13.78404875,Cutting
25,7,0,2,7:30,1,Male,25,0.007639514,0.005943591,-0.001695923,0.016665154,-4.094435315,450,21.21320344,450,21.21320344,Cutting
21,8,0,2,6:00,1,Male,22,0.005655116,NA,NA,NA,NA,360,18.97366596,360,18.97366596,Cutting
13,10,0,2,6:20,1,Male,24,0.007626537,0.006620019,-0.001006518,0.01735456,-4.053900006,380,19.49358869,380,19.49358869,Cutting
10,11,0,2,3:55,1,Male,22,0.007554808,0.00618258,-0.001372228,0.016988849,-4.075198073,235,15.32970972,235,15.32970972,Cutting
16,12,0,2,8:00,1,Male,23,0.007647257,0.007746743,9.95E-05,0.018460563,-3.992118528,480,21.9089023,480,21.9089023,Cutting
19,13,0,2,4:10,1,Male,22,0.006177183,0.006514194,0.000337011,0.018698088,-3.979333981,250,15.8113883,250,15.8113883,Cutting
20,19,0,2,3:15,1,Female,23,NA,NA,NA,NA,NA,195,13.96424004,195,13.96424004,Cutting
18,21,0,2,6:15,1,Female,22,0.00618752,0.006957866,0.000770346,0.019131423,-3.956423087,375,19.36491673,375,19.36491673,Cutting
14,22,0,2,6:10,1,Female,26,0.007621834,0.009351959,0.001730125,0.020091203,-3.907473234,370,19.23538406,370,19.23538406,Cutting
14,24,0,2,5:50,1,Female,25,0.008808817,0.006267209,-0.002541608,0.015819469,-4.146513853,350,18.70828693,350,18.70828693,Cutting
12,26,0,2,10:00,1,Female,22,0.007029366,0.00639046,-0.000638905,0.017722172,-4.032938763,600,24.49489743,600,24.49489743,Cutting
22,1,0,1,5:59,2,Male,22,0.008652118,0.009799286,0.001147167,0.019508245,-3.936918096,359,18.94729532,359,18.94729532,Cutting
19,2,0,1,4:15,2,Male,23,0.012602266,0.0065465,-0.006055766,0.012305311,-4.397724284,255,15.96871942,255,15.96871942,Cutting
22,3,0,1,7:50,2,Male,23,0.006118958,0.009439193,0.003320235,0.021681313,-3.831304564,470,21.67948339,470,21.67948339,Cutting
14,4,0,1,3:00,2,Male,23,0.006194256,0.006809658,0.000615403,0.01897648,-3.964554968,180,13.41640786,180,13.41640786,Cutting
